feature_set,features,model,model_family,priority,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FS4,Text + type + language + queue,logistic_regression,linear_baseline,high,0.6068192266583223,0.007089795229279635,0.6027766167374049,0.01518987989528136,0.6046801386176123,0.00747888906033639
FS4,Text + type + language + queue,logistic_regression,linear_baseline,low,0.42260130566388837,0.01227213708709485,0.44040648810611654,0.018432267142117667,0.4313011273067664,0.015137241863087233
FS4,Text + type + language + queue,logistic_regression,linear_baseline,medium,0.5203010458009202,0.011496224634319362,0.5123334435443875,0.013346508011992084,0.5162134282305588,0.010469923205320449
FS4,Text + type + language + queue,random_forest,bagging_ensemble,high,0.6131590365645885,0.004505359242974342,0.6530430990023129,0.01910114134501839,0.6323718958593237,0.009935310439774475
FS4,Text + type + language + queue,random_forest,bagging_ensemble,low,0.5262067263320478,0.015823173725799566,0.2963592961366031,0.0204366799990535,0.379040382813489,0.020403221026809942
FS4,Text + type + language + queue,random_forest,bagging_ensemble,medium,0.5262698789867781,0.011111019127783324,0.6104533807240866,0.006818507095562342,0.5651525023282599,0.005479431011475872
FS4,Text + type + language + queue,xgboost,gradient_boosting,high,0.6128960699883736,0.011433907380761915,0.6334509970290596,0.01787340184955635,0.6229328742808342,0.012918052413752691
FS4,Text + type + language + queue,xgboost,gradient_boosting,low,0.5215824184765591,0.024968084248367016,0.20883664890988718,0.008279444717427692,0.298200806971061,0.011706231359184796
FS4,Text + type + language + queue,xgboost,gradient_boosting,medium,0.5034513132112824,0.00688328186298655,0.6413122003636965,0.010092162678216563,0.5640523059462818,0.006956218188534827
FS5,Text + type + language + queue + sentiment,complement_naive_bayes,probabilistic,high,0.5506591055236731,0.008695409285591173,0.6312143006195673,0.019208841424251027,0.588100517303312,0.011342024856190236
FS5,Text + type + language + queue + sentiment,complement_naive_bayes,probabilistic,low,0.38102130462706274,0.007102299763657193,0.3768839221048214,0.016323139501845888,0.3788212382167555,0.010113895425394604
FS5,Text + type + language + queue + sentiment,complement_naive_bayes,probabilistic,medium,0.5044093586756574,0.008753666246599746,0.43529007155846305,0.013889042190751866,0.4670949213480924,0.005105706191077994
FS5,Text + type + language + queue + sentiment,knn_cosine,instance_based,high,0.5703439823466541,0.01543639016266106,0.6339000533277854,0.026717088734424972,0.6000560035235197,0.012618795913860373
FS5,Text + type + language + queue + sentiment,knn_cosine,instance_based,low,0.5341155616542748,0.01981694928663016,0.3078398324951321,0.01952982609938649,0.3901059867921738,0.015236222528352956
FS5,Text + type + language + queue + sentiment,knn_cosine,instance_based,medium,0.5343869022873512,0.013588821086764789,0.5911149422572798,0.033222292495962265,0.5607978221819522,0.01416708019714841
FS5,Text + type + language + queue + sentiment,lightgbm,gradient_boosting,high,0.6226057754587095,0.007577144120307295,0.6547235195586389,0.01480840868399214,0.6381724126564755,0.008014272434847832
FS5,Text + type + language + queue + sentiment,lightgbm,gradient_boosting,low,0.5167043509904099,0.023503987094866962,0.31740232079077463,0.012885573961612945,0.3932358773803134,0.01662014196501774
FS5,Text + type + language + queue + sentiment,lightgbm,gradient_boosting,medium,0.5312597642796575,0.012052401142118955,0.6091488557730912,0.008709307344089808,0.5674823285213189,0.008760873789540623
FS5,Text + type + language + queue + sentiment,linear_svm,linear,high,0.6010351097760956,0.007089167886610119,0.624384521531955,0.014004355257675368,0.6124422586420364,0.009209460537258669
FS5,Text + type + language + queue + sentiment,linear_svm,linear,low,0.4305140573656433,0.015357388060515821,0.39706843918585055,0.015358333434070824,0.4131130139853624,0.01535312316587146
FS5,Text + type + language + queue + sentiment,linear_svm,linear,medium,0.5219135954621801,0.013354863029020734,0.5228737925985405,0.011094754577309185,0.5223578492200602,0.01133275861982117
FS5,Text + type + language + queue + sentiment,logistic_regression,linear_baseline,high,0.6069524889375962,0.00583796473699014,0.6026641960006041,0.012808870117186382,0.6047198682437526,0.006180613551859447
FS5,Text + type + language + queue + sentiment,logistic_regression,linear_baseline,low,0.42045462347005785,0.012552587787445986,0.44253075848749235,0.01938133267018765,0.431172853781585,0.015401758827987416
FS5,Text + type + language + queue + sentiment,logistic_regression,linear_baseline,medium,0.5220304744006007,0.010623354948220252,0.5114636421604516,0.009678136141249278,0.5166348132916182,0.008138401013991192
FS5,Text + type + language + queue + sentiment,random_forest,bagging_ensemble,high,0.6111194952153971,0.007876724820769333,0.6492374628005797,0.02020038958285911,0.6294712387229657,0.011005104335984554
FS5,Text + type + language + queue + sentiment,random_forest,bagging_ensemble,low,0.5351794324905367,0.01683599404528241,0.2876474184981871,0.024002830585545296,0.37391067670791767,0.023518922084922726
FS5,Text + type + language + queue + sentiment,random_forest,bagging_ensemble,medium,0.5247412620073127,0.01129529230386866,0.6168632949956309,0.008285943968264655,0.5669786186242659,0.005559509947037583
FS5,Text + type + language + queue + sentiment,xgboost,gradient_boosting,high,0.6155386454097211,0.012762340508399035,0.6402802121330425,0.016968591522717496,0.6276319916140916,0.014020557672465352
FS5,Text + type + language + queue + sentiment,xgboost,gradient_boosting,low,0.5300155335033987,0.03298519663184518,0.2118117555746586,0.009115655333332745,0.3026436607159912,0.014624473092513817
FS5,Text + type + language + queue + sentiment,xgboost,gradient_boosting,medium,0.503710215494763,0.007890383359689163,0.6385952813924379,0.010848981694942412,0.5631703530886805,0.008430344737461458
